MO,km_distance,rail,CH,22.3
MO,km_distance,rail,BL,11.6
MO,km_distance,rail,ZT,47.0
MO,km_distance,rail,LN,25.5
MO,km_distance,road,LI,13.4
MO,km_distance,road,CH,24.4
MO,km_distance,road,BL,15.4
MO,km_distance,road,ZT,22.3
MO,km_distance,road,LN,26.2
UL,time_distance,rail,TP,17.0
UL,time_distance,rail,RD,28.0
UL,time_distance,rail,BL,30.0
UL,time_distance,rail,MO,43.0
UL,time_distance,rail,CH,69.0
UL,time_distance,rail,KD,90.0
UL,time_distance,rail,DC,16.0
UL,time_distance,rail,LV,14.0
UL,time_distance,rail,LT,26.0
UL,time_distance,rail,LI,41.0
UL,time_distance,rail,LN,62.0
UL,time_distance,road,TP,21.0
UL,time_distance,road,DC,27.0
UL,time_distance,road,LO,22.0
UL,time_distance,road,LT,28.0
UL,km_distance,road,TP,21.7
UL,km_distance,road,DC,26.3
UL,km_distance,road,LV,21.8
UL,km_distance,road,LT,20.2
UL,km_distance,rail,TP,17.0
UL,km_distance,rail,DC,23.0
UL,km_distance,rail,LV,22.0
UL,km_distance,rail,LT,27.0
